epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,721.576,0.63228,0.31409,0.96766,0.63102,0.35445,0.39582,0.16859,0.59593,0.30281,0.9776,0.00959156,0.00959156,0.00959156
43,734.111,0.63203,0.31496,0.96315,0.62415,0.34605,0.38514,0.15626,0.60498,0.30827,0.97927,0.00957172,0.00957172,0.00957172
44,746.611,0.61521,0.30638,0.96866,0.69627,0.35689,0.39208,0.16485,0.57388,0.28433,0.9707,0.00955143,0.00955143,0.00955143
45,758.954,0.60966,0.30105,0.97085,0.67705,0.35971,0.40097,0.16449,0.60486,0.28861,0.98296,0.0095307,0.0095307,0.0095307
46,771.438,0.61498,0.3009,0.96411,0.66022,0.36956,0.41275,0.17586,0.58084,0.27651,0.97235,0.00950953,0.00950953,0.00950953
47,783.811,0.61123,0.30218,0.96613,0.6688,0.3517,0.38532,0.15826,0.5922,0.29131,0.97751,0.00948792,0.00948792,0.00948792
48,797.297,0.61534,0.30376,0.96577,0.66387,0.34804,0.39674,0.1685,0.58163,0.28136,0.96996,0.00946587,0.00946587,0.00946587
49,809.752,0.62074,0.30426,0.95958,0.64857,0.36575,0.40711,0.17182,0.58863,0.28107,0.97282,0.00944338,0.00944338,0.00944338
50,822.153,0.61424,0.29923,0.96581,0.66393,0.36468,0.41071,0.17619,0.57512,0.27761,0.97093,0.00942046,0.00942046,0.00942046
51,834.522,0.6155,0.29925,0.96344,0.69266,0.37053,0.4159,0.17751,0.57325,0.27252,0.97161,0.00939711,0.00939711,0.00939711
52,847.257,0.60663,0.29506,0.96009,0.65081,0.36391,0.39941,0.16959,0.58385,0.27796,0.97197,0.00937334,0.00937334,0.00937334
53,859.493,0.59897,0.29127,0.95981,0.65061,0.36758,0.42665,0.1833,0.58296,0.27847,0.97466,0.00934914,0.00934914,0.00934914
54,871.75,0.60896,0.29558,0.96192,0.68832,0.37078,0.41965,0.18091,0.5767,0.27143,0.97168,0.00932452,0.00932452,0.00932452
55,884.243,0.59883,0.29029,0.96455,0.68985,0.37719,0.42355,0.1827,0.56696,0.26654,0.97005,0.00929948,0.00929948,0.00929948
56,896.272,0.59954,0.29196,0.96001,0.6758,0.37033,0.42173,0.18398,0.5758,0.27582,0.97229,0.00927402,0.00927402,0.00927402
57,908.929,0.60784,0.29767,0.95485,0.69265,0.36773,0.41735,0.17982,0.56447,0.2707,0.96481,0.00924815,0.00924815,0.00924815
58,921.306,0.6098,0.29915,0.96061,0.67507,0.36884,0.41761,0.17453,0.58961,0.28487,0.97271,0.00922186,0.00922186,0.00922186
59,933.367,0.59476,0.29247,0.95909,0.66653,0.37292,0.42016,0.18553,0.56402,0.26824,0.96654,0.00919517,0.00919517,0.00919517
60,945.599,0.6034,0.2883,0.95802,0.69146,0.37567,0.42389,0.18295,0.57344,0.27615,0.97012,0.00916808,0.00916808,0.00916808
